Sample,Species,Status,residual
FJVB1,Acropora_millepora,unbleached,0.017784192
FJVB10A,Pocillopora_damicornis,bleached,0.104731899
FJVB10B,Pocillopora_damicornis,unbleached,0.060156756
FJVB11A,Pocillopora_damicornis,bleached,0.04895419
FJVB11B,Pocillopora_damicornis,unbleached,0.104456404
FJVB12A,Pocillopora_damicornis,bleached,0.123306115
FJVB12B,Pocillopora_damicornis,unbleached,0.102515656
FJVB13,Acropora_millepora,bleached,0.166670245
FJVB14,Acropora_millepora,bleached,0.141613732
FJVB16,Acropora_millepora,unbleached,0.114543439
FJVB17,Montipora_digitata,unbleached,0.164922095
FJVB18,Porites_cylindrica,bleached,0.090153833
FJVB20,Montipora_digitata,unbleached,0.104465361
FJVB22,Acropora_millepora,unbleached,0.103318122
FJVB23,Acropora_millepora,bleached,0.055102779
FJVB24A,Acropora_millepora,bleached,0.108112991
FJVB25A,Porites_cylindrica,unbleached,0.054451196
FJVB26,Acropora_millepora,bleached,0.135976224
FJVB28,Acropora_millepora,bleached,0.217052474
FJVB29,Acropora_millepora,bleached,0.223962326
FJVB2A,Pocillopora_damicornis,bleached,0.071583351
FJVB2B,Pocillopora_damicornis,unbleached,0.055448991
FJVB30A,Montipora_digitata,bleached,0.146951497
FJVB31A,Porites_cylindrica,bleached,0.042188904
FJVB31B,Porites_cylindrica,unbleached,0.046631854
FJVB32A,Porites_cylindrica,bleached,0.157990314
FJVB32B,Porites_cylindrica,unbleached,0.043574389
FJVB33A,Montipora_digitata,bleached,0.106536297
FJVB33B,Montipora_digitata,unbleached,0.076776367
FJVB34A,Montipora_digitata,bleached,0.093612633
FJVB34B,Montipora_digitata,unbleached,0.106556042
FJVB35A,Montipora_digitata,bleached,0.148838664
FJVB35B,Montipora_digitata,unbleached,0.168132217
FJVB36A,Montipora_digitata,bleached,0.164951219
FJVB3A,Pocillopora_damicornis,bleached,0.049851589
FJVB42A,Porites_cylindrica,bleached,0.077384376
FJVB42B,Montipora_digitata,unbleached,0.095157253
FJVB43A,Pocillopora_damicornis,bleached,0.108216721
FJVB43B,Pocillopora_damicornis,unbleached,0.033761544
FJVB46A,Porites_cylindrica,bleached,0.070022722
FJVB46B,Porites_cylindrica,unbleached,0.054169222
FJVB48A,Acropora_millepora,bleached,0.161390979
FJVB48B,Acropora_millepora,unbleached,0.110360018
FJVB49A,Acropora_millepora,bleached,0.141795127
FJVB49B,Acropora_millepora,unbleached,0.070422805
FJVB4A,Pocillopora_damicornis,bleached,0.098271011
FJVB5,Acropora_millepora,unbleached,0.07321799
FJVB50A,Acropora_millepora,bleached,0.110624759
FJVB50B,Acropora_millepora,unbleached,0.069305151
FJVB6A,Pocillopora_damicornis,bleached,0.051430645
FJVB7A,Porites_cylindrica,bleached,0.074593164
FJVB7B,Porites_cylindrica,unbleached,0.07567149
FJVB8A,Montipora_digitata,bleached,0.101749969
FJVB8B,Montipora_digitata,unbleached,0.116790518
FJVB9A,Montipora_digitata,bleached,0.127928658
FJVB9B,Montipora_digitata,unbleached,0.12989037
