,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu64,7200,923.0769231,2772.727273,1327.272727,181.8181818,591.3043478,18863.63636,22500,36857.14286,95250,3384.615385,200,111.1111111,100,0,52.63157895,333.3333333,1111.111111,88.23529412,7555.555556,1083.333333,71.42857143,117.6470588,0,65.2173913,2416.666667,71.42857143,3577.777778,0,0,210.5263158
Zotu83,0,692.3076923,318.1818182,581.8181818,0,643.4782609,772.7272727,0,428.5714286,250,230.7692308,0,0,1900,193.5483871,210.5263158,333.3333333,1444.444444,0,3111.111111,166.6666667,166.6666667,352.9411765,33500,14478.26087,750,28428.57143,2511.111111,0,350,1000
Zotu137,12600,1615.384615,272.7272727,1818.181818,454.5454545,1121.73913,3272.727273,1500,714.2857143,2250,4153.846154,700,0,6100,1935.483871,1578.947368,3833.333333,3000,29.41176471,1777.777778,0,380.952381,470.5882353,3425,3500,4583.333333,9928.571429,377.7777778,0,3650,2789.473684
Zotu323,1600,0,0,581.8181818,0,1226.086957,1159.090909,0,0,0,76.92307692,0,0,0,0,0,0,0,29.41176471,296.2962963,0,95.23809524,0,4150,3347.826087,83.33333333,5714.285714,955.5555556,0,0,0
Zotu365,0,0,0,0,1909.090909,0,0,0,0,0,0,1100,2555.555556,0,0,0,0,0,5411.764706,0,3416.666667,3619.047619,3882.352941,0,0,0,0,0,363.6363636,0,0
Zotu1553,0,0,0,0,90.90909091,0,0,0,0,0,0,1000,2333.333333,0,0,0,0,0,441.1764706,0,166.6666667,238.0952381,117.6470588,0,0,0,0,0,1000,0,0
Zotu178,0,0,0,0,3272.727273,0,0,0,0,0,0,2600,4000,0,0,0,0,0,147.0588235,0,9583.333333,11404.7619,12529.41176,0,0,0,0,0,909.0909091,0,0
Zotu378,10100,3538.461538,90.90909091,0,0,0,0,0,0,0,1076.923077,0,0,0,0,0,0,555.5555556,0,14185.18519,0,0,0,0,0,333.3333333,0,4666.666667,0,0,0
Zotu1411,0,0,0,0,272.7272727,0,0,0,0,0,0,600,777.7777778,0,0,0,0,0,323.5294118,0,666.6666667,880.952381,529.4117647,0,0,0,0,0,818.1818182,0,0
Zotu909,400,230.7692308,0,363.6363636,272.7272727,208.6956522,159.0909091,833.3333333,285.7142857,1500,153.8461538,100,222.2222222,200,290.3225806,210.5263158,166.6666667,222.2222222,176.4705882,37.03703704,83.33333333,47.61904762,176.4705882,175,108.6956522,583.3333333,71.42857143,22.22222222,0,500,52.63157895
Zotu662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu500,1300,384.6153846,0,345.4545455,90.90909091,147.826087,136.3636364,166.6666667,285.7142857,500,923.0769231,0,111.1111111,900,580.6451613,631.5789474,500,111.1111111,176.4705882,37.03703704,166.6666667,261.9047619,58.82352941,850,782.6086957,416.6666667,857.1428571,88.88888889,90.90909091,700,1368.421053
