,1 Acropora sp,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,49B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu64,0,5800,500,5818.181818,0,0,3000,0,16285.71429,300,0,500,676.4705882,272.7272727,0,50,625,1285.714286,2000,750,846.1538462,0,0,0,0,2000,187.5,62.5,555.5555556
Zotu83,5250,1850,250,90.90909091,0,428.5714286,454.5454545,0,428.5714286,1066.666667,0,166.6666667,58.82352941,454.5454545,0,200,125,809.5238095,2055.555556,0,230.7692308,9176.470588,10500,333.3333333,9255.102041,3750,187.5,583.3333333,944.4444444
Zotu137,15250,2850,1583.333333,454.5454545,1760,2857.142857,727.2727273,0,285.7142857,1533.333333,2666.666667,500,147.0588235,1090.909091,230.7692308,2575,9750,523.8095238,5111.111111,0,230.7692308,764.7058824,500,4111.111111,1163.265306,7625,500,3520.833333,6388.888889
Zotu323,250,300,0,90.90909091,0,0,363.6363636,0,0,133.3333333,0,0,0,0,0,0,125,47.61904762,388.8888889,250,0,1294.117647,500,666.6666667,744.8979592,0,0,0,0
Zotu365,0,0,0,0,0,0,0,777.7777778,0,0,0,1333.333333,1441.176471,0,0,0,0,0,0,4000,3615.384615,0,0,0,0,0,437.5,0,0
Zotu1553,0,0,0,0,0,0,0,1000,0,0,0,166.6666667,764.7058824,0,0,0,0,0,0,0,0,0,0,0,0,0,687.5,0,0
Zotu178,0,0,0,0,0,0,0,6333.333333,0,0,0,8666.666667,9352.941176,0,0,0,0,0,0,13750,3461.538462,0,0,0,0,0,3125,0,0
Zotu378,0,3150,250,0,0,0,0,0,0,166.6666667,0,0,0,0,0,0,1875,0,1000,0,0,0,0,0,0,250,0,0,0
Zotu1411,0,0,0,0,0,0,0,222.2222222,0,0,0,166.6666667,205.8823529,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0
Zotu909,250,50,83.33333333,727.2727273,240,142.8571429,181.8181818,0,1428.571429,0,333.3333333,0,58.82352941,181.8181818,0,725,125,285.7142857,111.1111111,0,0,58.82352941,0,444.4444444,0,0,93.75,145.8333333,222.2222222
