,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu4607,0,0,0,0,0,0,0,0,0,0,7.96812749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4,1338.345865,357.1428571,71.42857143,1763.285024,34657.89474,39.6039604,1891.304348,18820.51282,3324.110672,2649.57265,1525.896414,68.96551724,4624,7200,6417.112299,213.2352941,1119.266055,896.8253968,3319.148936,4034.482759,500,35054.05405,49120,4482.758621,5629.213483,104.5454545,83.33333333,333.3333333,8090.909091,5390.243902,100,26731.70732,46.15384615
Zotu13,191.7293233,0,0,0,0,17613.86139,12934.78261,0,4185.770751,11290.59829,0,0,0,0,165.7754011,4044.117647,0,2007.936508,21.27659574,5810.344828,0,5270.27027,21380,4275.862069,5426.966292,9931.818182,13032.05128,0,3397.727273,8439.02439,0,2463.414634,2323.076923
Zotu3,402.2556391,285.7142857,21714.28571,0,13105.26316,3712.871287,3891.304348,5051.282051,11541.50198,12555.55556,1573.705179,8.620689655,2496,14550,0,558.8235294,20871.55963,1444.444444,5106.382979,2189.655172,14142.85714,6216.216216,30140,22862.06897,10033.70787,304.5454545,256.4102564,83.33333333,0,21000,223700,8609.756098,876.9230769
Zotu1,593.9849624,35857.14286,27482.14286,0,55000,5940.594059,25173.91304,0,5304.347826,8512.820513,1756.972112,4456.896552,0,1900,294.1176471,13294.11765,1110.091743,4222.222222,21404.25532,16793.10345,10214.28571,6837.837838,39860,7931.034483,4404.494382,22727.27273,31865.38462,31750,4613.636364,18960.97561,69600,18926.82927,5707.692308
Zotu23,424.8120301,0,0,400.9661836,0,4376.237624,21.73913043,0,569.1699605,51.28205128,99.60159363,163.7931034,192,0,288.7700535,1014.705882,394.4954128,1111.111111,1234.042553,120.6896552,22714.28571,0,1440,0,33.70786517,2045.454545,1211.538462,34750,1568.181818,2146.341463,300,756.097561,30.76923077
Zotu2,522.556391,33428.57143,12160.71429,4.830917874,22052.63158,10425.74257,30108.69565,4683.760684,5652.173913,0,5286.85259,7793.103448,4220,237.5,786.0962567,2632.352941,1229.357798,1111.111111,18851.06383,23034.48276,7214.285714,19297.2973,3220,32310.34483,8483.146067,26863.63636,13551.28205,0,0,19434.14634,1400,11731.70732,2969.230769
Zotu109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0
Zotu1979,18.79699248,0,17.85714286,4.830917874,0,9.900990099,0,8.547008547,7.90513834,8.547008547,31.87250996,0,8,0,0,0,18.34862385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu15,390.9774436,0,0,0,0,2821.782178,50478.26087,3299.145299,984.1897233,0,55.77689243,0,164,0,0,875,733.9449541,2095.238095,404.2553191,1500,0,0,9020,68.96551724,5865.168539,11413.63636,7192.307692,0,4693.181818,9926.829268,0,0,0
