,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu4607,0,0,0,0,0,0,0,0,0,7.462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4,33071.42857,156.25,47.61904762,7044.444444,3295.652174,2155.279503,2288.135593,2171.717172,158.3333333,2611.940299,1260.273973,32144.92754,11133.33333,4285.714286,7312.5,12000,3539.473684,38.96103896,116875,54.6875,63736.84211,38051.28205,7764.367816,1014.218009,2864.864865,2299.595142,1626.984127,130,10666.66667,1352.459016,5261.904762,7565.714286
Zotu13,5178.571429,14937.5,0,2377.777778,3426.086957,5875.776398,788.1355932,0,12933.33333,0,11000,23565.21739,9.523809524,0,0,4812.5,1236.842105,0,86958.33333,0,500,25.64102564,1954.022989,0,2783.783784,805.6680162,634.9206349,5810,22291.66667,0,0,440
Zotu3,3857.142857,0,0,10022.22222,13443.47826,1242.236025,2618.644068,18969.69697,28891.66667,59.70149254,17506.84932,17855.07246,1723.809524,476.1904762,250,250,2631.578947,12.98701299,7625,1382.8125,0,51.28205128,3160.91954,1312.796209,108.1081081,4.048582996,646.8253968,6140,13875,9844.262295,23.80952381,422.8571429
Zotu1,21946.42857,12343.75,0,5155.555556,35147.82609,12211.18012,7669.491525,1424.242424,10691.66667,3522.38806,0,16855.07246,247.6190476,13095.2381,76875,9875,6657.894737,1792.207792,3958.333333,2875,39921.05263,17153.84615,10201.14943,2203.791469,24972.97297,9684.210526,218.2539683,44620,114958.3333,7557.377049,8238.095238,2834.285714
Zotu23,267.8571429,8125,0,0,817.3913043,1428.571429,991.5254237,3151.515152,3608.333333,164.1791045,397.260274,1840.57971,0,11333.33333,0,62.5,486.8421053,311.6883117,2000,0,1605.263158,0,6178.16092,0,1675.675676,1311.740891,3519.84127,590,0,33729.5082,12047.61905,1131.428571
Zotu2,44517.85714,91031.25,0,3266.666667,4686.956522,13801.24224,1974.576271,1040.40404,24500,89.55223881,0,43217.3913,171.4285714,13333.33333,11625,21187.5,2421.052632,2779.220779,583.3333333,2578.125,2763.157895,0,3988.505747,0,21459.45946,3384.615385,134.9206349,10840,58833.33333,836.0655738,24261.90476,320
Zotu109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1979,0,0,0,22.22222222,0,0,0,20.2020202,0,0,0,0,0,0,0,0,13.15789474,0,0,0,26.31578947,0,11.49425287,0,0,0,7.936507937,0,0,0,0,5.714285714
Zotu15,1517.857143,0,8133.333333,0,2286.956522,1931.677019,9983.050847,5595.959596,9416.666667,119.4029851,37479.45205,6869.565217,342.8571429,47.61904762,0,125,2802.631579,0,41.66666667,0,6421.052632,4282.051282,2568.965517,843.6018957,0,1538.461538,456.3492063,4760,9000,6491.803279,0,925.7142857
