,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.40816327,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu33,0,0,0,0,0,2049.50495,22.98850575,0,2510.204082,120.6896552,83.33333333,0,82.19178082,7943.396226,2857.142857,1383.333333,257.4257426,50.34324943,653.0612245,25.64102564,37285.71429,90.90909091,10279.06977,155791.6667,0,6.451612903,0,0,12.04819277,5880.952381,152.5423729,9.868421053
Zotu20,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.90909091,0,0,0,0,0,0,0,0,0,0
Zotu2854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,9.868421053
Zotu23,0,0,0,0,0,0,0,0,10.20408163,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,11.62790698,0,0,0,0,0,0,23.80952381,0,190.7894737
Zotu94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu74,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.578947368
Zotu46,6934.782609,35975.60976,2480,0,0,0,0,0,0,0,0,9333.333333,0,0,0,0,0,0,0,45179.48718,0,295363.6364,11.62790698,0,0,0,5783.783784,0,17469.87952,47.61904762,0,0
Zotu15,0,0,40,6366.197183,238.0952381,0,8436.781609,5000,4836.734694,207068.9655,934388.8889,0,27.39726027,0,0,0,0,0,0,25.64102564,0,0,0,41.66666667,0,0,0,0,0,23.80952381,0,0
Zotu1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.578947368
Zotu25,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0,0,0,0,0,2.288329519,20.40816327,25.64102564,0,45.45454545,0,0,0,6.451612903,0,0,0,0,0,0
Zotu190,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,25.1572327,0,0,0,0,20.40816327,487.1794872,0,0,23.25581395,0,0,0,0,0,0,0,0,381.5789474
Zotu31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66666667,0,0,0,0,0,0,0,3.289473684
Zotu22,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,2.288329519,20.40816327,0,0,45.45454545,0,0,0,6.451612903,0,0,0,0,16.94915254,0
Zotu11,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57861635,0,0,9.900990099,0,0,25.64102564,142.8571429,0,0,0,4.716981132,0,0,0,0,0,0,0
Zotu361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8588,0,0,0,0,0,0,11.49425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu238,0,0,0,0,0,0,0,0,10.20408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.9433962,12.90322581,0,0,24.09638554,0,16.94915254,0
Zotu108,0,0,0,0,0,0,0,0,979.5918367,0,0,0,0,0,0,0,0,20.59496568,20.40816327,0,0,0,0,0,0,0,0,0,0,0,7406.779661,7993.421053
Zotu53,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu65,43.47826087,0,0,0,0,0,0,0,0,0,0,0,0,12.57861635,0,0,29.7029703,6.864988558,0,51.28205128,0,0,23.25581395,0,193.3962264,6.451612903,0,0,0,0,0,223.6842105
Zotu1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu58,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57861635,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.578947368
Zotu6301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
