,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,22 Acropora sp,25A Porites sp,2B Pocillopora damicornis,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,42B Montipora sp,43B Pocillopora damicornis,46B Porites sp,48B Acropora sp,49B Acropora sp,5 Acropora sp,50B Acropora sp,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu33,0,0,0,0,2214.285714,42.10526316,738.6363636,0,47333.33333,0,27023.80952,15493.50649,1131.313131,327.5862069,21.50537634,125,54.05405405,57789.47368,10.38062284,0,727.2727273,13.51351351,191043.4783,271.1864407,21.39037433
Zotu20,0,0,0,9.900990099,0,0,0,0,0,0,0,0,10.1010101,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2854,0,0,0,0,0,0,0,0,0,0,0,0,0,43.10344828,0,0,0,0,0,0,0,0,0,0,0
Zotu44,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0
Zotu23,0,0,0,0,0,0,34.09090909,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,13.51351351,0,16.94915254,0
Zotu94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu233,0,0,2580.952381,79.20792079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu46,0,1640.776699,731.4285714,910.8910891,0,0,0,0,23.80952381,50551.72414,0,0,0,0,0,0,17729.72973,0,0,0,151.5151515,0,173.9130435,0,10.69518717
Zotu15,40,0,3.80952381,0,316500,0,22.72727273,959.1836735,0,0,0,0,0,0,0,0,0,0,20.76124567,0,0,0,0,0,0
Zotu1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu25,0,0,0,0,0,0,45.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0
Zotu190,0,3349.514563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu31,0,0,0,0,0,0,11.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0855615
Zotu22,0,0,0,99.00990099,0,0,0,0,0,0,0,0,0,0,0,15.625,27.02702703,0,0,0,0,135.1351351,0,0,0
Zotu11,0,0,0,9.900990099,0,0,11.36363636,0,0,0,0,12.98701299,0,0,10.75268817,0,27.02702703,0,0,0,0,0,43.47826087,0,0
Zotu361,140,0,0,0,19238.09524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38062284,0,0,0,0,0,0
Zotu108,0,0,0,0,0,168.4210526,0,0,0,0,0,12.98701299,0,758.6206897,0,281.25,0,0,0,0,0,0,0,11186.44068,1294.117647
Zotu53,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu65,0,19.41747573,0,0,0,0,0,0,23.80952381,0,71.42857143,12.98701299,20.2020202,25.86206897,0,0,0,0,31.14186851,0,0,54.05405405,0,0,53.47593583
Zotu1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,0
Zotu2315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu58,0,29.12621359,0,0,0,0,0,0,0,0,71.42857143,0,10.1010101,8.620689655,0,0,0,0,3.460207612,26.31578947,0,0,0,0,21.39037433
Zotu6301,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu286,0,19.41747573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04278075
Zotu220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu55,0,0,0,9.900990099,3142.857143,31.57894737,147.7272727,2265.306122,1809.52381,0,238.0952381,129.8701299,141.4141414,8.620689655,0,0,0,526.3157895,13.84083045,0,666.6666667,108.1081081,565.2173913,186.440678,16.04278075
Zotu102,0,9.708737864,0,0,0,0,0,0,0,0,0,0,20.2020202,0,0,0,0,0,0,13.15789474,0,0,0,0,21.39037433
Zotu352,0,0,0,0,0,21.05263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu62,6540,2339.805825,26.66666667,118.8118812,428.5714286,536.8421053,272.7272727,1571.428571,214.2857143,1103.448276,71.42857143,103.8961039,242.4242424,301.7241379,2161.290323,437.5,1135.135135,526.3157895,83.0449827,513.1578947,1242.424242,527.027027,434.7826087,864.4067797,256.684492
Zotu848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04278075
Zotu207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu158,0,9.708737864,0,0,0,0,0,0,0,0,0,12.98701299,20.2020202,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu205,0,9.708737864,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu215,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24137931,0,0,0,0,0,0,0,0,0,0,21.39037433
Zotu614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu645,0,0,3.80952381,0,0,0,0,0,0,0,0,0,0,0,107.5268817,0,0,0,0,0,0,0,0,0,0
Zotu257,0,9.708737864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu202,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu115,1980,184.4660194,22.85714286,59.40594059,357.1428571,189.4736842,45.45454545,346.9387755,214.2857143,379.3103448,142.8571429,38.96103896,171.7171717,86.20689655,1505.376344,250,270.2702703,157.8947368,743.9446367,578.9473684,787.8787879,513.5135135,434.7826087,271.1864407,106.9518717
Zotu173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688.5813149,26.31578947,0,1256.756757,0,0,0
Zotu3183,0,29.12621359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0
Zotu72,4820,2825.242718,36.19047619,89.10891089,523.8095238,294.7368421,125,693.877551,142.8571429,689.6551724,238.0952381,64.93506494,212.1212121,215.5172414,2860.215054,312.5,486.4864865,52.63157895,69.20415225,473.6842105,1181.818182,364.8648649,260.8695652,474.5762712,122.9946524
Zotu613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu334,0,19.41747573,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51351351,0,16.94915254,58.82352941
Zotu425,0,0,0,0,0,0,0,0,0,0,0,0,0,43.10344828,0,0,0,0,0,0,0,0,0,0,0
Zotu1725,0,0,0,0,0,0,0,0,0,0,0,12.98701299,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu250,80,9.708737864,5.714285714,29.7029703,47.61904762,294.7368421,204.5454545,102.0408163,95.23809524,0,23.80952381,12.98701299,50.50505051,51.72413793,0,234.375,162.1621622,0,0,13.15789474,121.2121212,175.6756757,173.9130435,33.89830508,299.4652406
Zotu42,0,165.0485437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.12834225
Zotu1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu694,0,0,636.1904762,168.3168317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu618,0,0,0,9.900990099,0,0,0,0,0,0,0,0,30.3030303,0,0,0,27.02702703,0,0,26.31578947,60.60606061,0,86.95652174,0,32.0855615
Zotu252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu39,0,0,0,0,0,0,0,0,261.9047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu36,0,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
