,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu2,1.525262154,1.398256292,37.07111871,15807.19534,17933.49848,2.464403067,4.780114723,2149.180073,56.02614553,16118.61761,15481.56043,2.397315007,1.210946961,80.41958042,4.658385093,1.106929378,54.92424242,34.8583878,3.869303525,2.916514765,96.77419355,4.377964247,50.45278137,22944.69453,6567.917935,2.723404255,26923.95604,2.805923617,2.75,13.53383459,2.648687696
Zotu2204,0,0,0,0,0,0,0,0,0,0,0,0,0.60547348,0,0,0,0,0,0.429922614,0,0,0,0,0,0,0,0,0,0,0,0
Zotu89,0,0,0,0,0,161.007667,0,0,0,0,0,0,0,20.97902098,111.8012422,0,0,0,0,0,0,0,20.69857697,0,0,0,0,0,175.5,3.007518797,0
Zotu10,0.571973308,0.987004442,1.314578678,316.949582,171.1128049,0.273822563,8884.321224,25.84129945,1.133862469,159.1973244,188.8723087,0,0,3.496503497,3.105590062,0.110692938,0,0,0.429922614,0.364564346,0,0.364830354,0,250.1607717,91.5342126,0,174.0659341,0.311769291,0.5,1.503759398,4.334216229
Zotu3,271.877979,407.8795855,30.62968319,70.43324044,3.239329268,39.15662651,92.73422562,534.4291599,2597.212032,49.94425864,18.75932637,15.66245805,4.359409058,3.496503497,4.658385093,0.332078813,41.66666667,0,2.579535684,17.49908859,64.51612903,0.729660708,10.34928849,0.964630225,0.112726863,116.2553191,22.41758242,1.091192518,25.25,112.7819549,302.6727667
Zotu1,8.770257388,1.645007403,5.25831471,11.90777806,13.91006098,35094.74261,77.43785851,4.313359758,42.68658707,15.83054627,24.94137711,3.995525012,13618.18842,41524.47552,39392.85714,12604.60483,261679.9242,106806.1002,50530.09458,5.83302953,187822.5806,24.44363371,38957.30918,19.2926045,5.185435689,4.425531915,65.93406593,6.079501169,27562.75,195018.0451,31522.75464
Zotu4,85.41468065,40.05593025,240.3049823,6310.108944,8639.10061,2.464403067,608.0305927,1225.732494,20.00933769,8709.921962,8241.952675,210.8038996,0.484378784,104.8951049,6.211180124,1.660394067,168.5606061,8.71459695,6.878761823,240.4301859,48.38709677,233.1265961,21.99223803,8630.22508,2948.032916,192.1702128,8329.230769,260.7950117,3.5,4.511278195,2.167108115
Zotu31,0,0,0.131457868,0,0,0,0.956022945,0,0,0,0,0.159821,0.121094696,0,0,924.2860306,7657.19697,0,0,0,0,0,0,0,0.112726863,0,0,0,0,0,675.896942
Zotu7,7998.474738,4249.794374,6852.109899,3.54699772,0.952743902,0.547645126,2.868068834,0.155436388,1.467351431,0.22296544,1.065870816,14014.06425,0,3.496503497,1.552795031,0,7.575757576,0,0,5502.55195,96.77419355,11520.97775,5.174644243,1.286173633,0.225453726,11903.14894,1.318681319,8404.676539,0.75,16.54135338,9.150012039
Zotu9,0,0,0.131457868,0,0,0,108215.1052,12.5903474,0.066697792,0.445930881,0,1.598210005,0,0,0,0,1.893939394,0,0,0,80.64516129,71.14191901,1.293661061,0,0,0,0.43956044,0,0.5,0,0
