,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,49B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu2,20.33660589,0.192372433,0.13051666,0.297353553,1.480461353,1.819174095,1.472573322,0.805720616,0.272851296,2.475247525,1.238390093,0.3496259,13.08411215,2.468373959,4.569687738,0.639040456,0.442366026,11.01694915,12.07729469,0.281056773,15.73033708,0.936409296,8.901605468,3.215434084,1.453186631,1459.049477,1148.237859,467.2200338,886.8097514,0.108299339,3.955174687,11.27819549,3.357958361
Zotu2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442412624,0.37917088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu89,0,0,0,0,0,0,0,0,0,142.0792079,0,0,0,199.0126504,131.3785225,0,0,0,0,0.046842796,0,0,0,74.4908896,63.73261366,0,0.080739575,0,0,0,124.5880026,0,0.671591672
Zotu10,28.75175316,0.048093108,0,0.223015165,3272.714753,0.181917409,0.122714443,0,0,0,0.904977376,0,1.869158879,0.308546745,0,0,0.252780586,0,1.811594203,0.093685591,1.123595506,0.085128118,0.158957241,0,0,38.14200666,28.29922086,2.110298255,33.41148886,0.108299339,0,3.759398496,70.51712559
Zotu3,70044.88079,1324.339922,1062.144575,2053.783824,710.8280255,317.8097144,568.5360167,3353.274919,3025.258234,6.435643564,3265.206001,1373.820013,16.82242991,0.61709349,5.331302361,0.245784791,0.631951466,1.694915254,1.207729469,1380.597714,1.123595506,0.170256236,1780.797965,0,0.41519618,0.403619118,4.198457874,10026.87113,0.01502991,1040.467853,68.55636124,215.2255639,203.4922767
Zotu1,23.14165498,1.731351897,0.428840453,1.003568243,2.788776037,28570.85683,15774.69628,1.342867694,0.506723836,35097.0297,2.190997857,0.48947626,233504.6729,26165.07251,35550.26657,8348.375363,9626.200708,85422.88136,68285.62802,1.217912685,137724.7191,11785.39201,1.192179304,12722.40086,13888.72742,4.103461034,4.884744257,2.250984806,1.8937686,0.685895816,40143.70468,141612.782,93103.42512
Zotu4,3.50631136,0.28855865,0.149161897,0.334522748,388.9137545,3.274513371,2.208859983,0.302145231,0.155915026,3.465346535,1.381281257,5.314313684,28.03738318,3.394014193,7.235338919,0.983139163,1.200707786,17.79661017,11.47342995,5.714821061,10.11235955,1.021537414,6.278811,2.143622722,1.453186631,1242.205106,894.9174438,231.2886888,1025.160069,0.397097578,3.955174687,5.639097744,10.74546676
Zotu31,0,0,0,0,0,643.8057122,348.631734,0,0,0,0,0,5857.943925,0,0,0,0,2272.881356,1958.333333,0,0,946.7949264,0,0,0,0,0.040369787,0,0,0,0,0,0
Zotu7,160.5890603,4.280286635,1.808587996,2.750520369,0.172146669,0,0.122714443,0,0.038978757,0.495049505,0,198.3078106,3.738317757,0.61709349,1.142421935,0.098313916,0.063195147,0.847457627,0,364.8585348,7.865168539,0.170256236,76.21999682,0,0.20759809,0.10090478,0.161479149,66.26336522,0.045089729,0.07219956,9.887936717,0,5.372733378
Zotu9,0.701262272,0,0.018645237,0,0.034429334,0,0.122714443,0,0.038978757,0.495049505,0,0,0,0,0,0,0.063195147,0,0.603864734,0,0,0,0,0,0,0,0,0,0,0,0.659195781,0,0
