OTU_ID	Phylum	Clade
Zotu64	Apicomplexa	A
Zotu365	Apicomplexa	A
Zotu378	Apicomplexa	A
Zotu1014	Apicomplexa	A
Zotu1533	Apicomplexa	A
Zotu11080	Apicomplexa	A
Zotu2979	Apicomplexa	A
Zotu3502	Apicomplexa	A
Zotu909	Apicomplexa	B
Zotu500	Apicomplexa	B
Zotu662	Apicomplexa	B
Zotu2324	Apicomplexa	B
Zotu11152	Apicomplexa	B
Zotu2304	Apicomplexa	B
Zotu1616	Apicomplexa	B
Zotu1162	Apicomplexa	B
Zotu1847	Apicomplexa	B
Zotu1941	Apicomplexa	B
Zotu83	Apicomplexa	C
Zotu137	Apicomplexa	C
Zotu178	Apicomplexa	C
Zotu323	Apicomplexa	C
Zotu1746	Apicomplexa	C
Zotu895	Apicomplexa	D
Zotu1411	Apicomplexa	D
Zotu1553	Apicomplexa	D
Zotu3609	Apicomplexa	D
Zotu2452	Apicomplexa	D
Zotu2665	Apicomplexa	D
Zotu8322	Apicomplexa	D
