	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id
Zotu100	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae				0
Zotu1000	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae				0
Zotu10000	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales Dev007				0
Zotu10002	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu10003	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas			0
Zotu10004	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter			0
Zotu10006	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae				0
Zotu10007	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu10008	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccaceae C1-b045			0
Zotu10009	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium_pcc-7375			0
Zotu1001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae				0
Zotu10010	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu10011	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola			0
Zotu10012	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10013	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella			0
Zotu10014	Bacteria	Planctomycetota	Planctomycetota vadinHA49						0
Zotu10015	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu10016	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Om182_clade					0
Zotu10017	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Nodosilineaceae Mbic10086			0
Zotu10018	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10019	Bacteria	Acidobacteriota	Acidobacteriota Subgroup_22						0
Zotu1002	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita			0
Zotu10020	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Labilibacter			0
Zotu10021	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrionaceae Om27_clade			0
Zotu10022	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu10023	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Nodosilineaceae Mbic10086			0
Zotu10024	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu10025	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10026	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Halobacteriovorax			0
Zotu10027	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu10028	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae				0
Zotu10029	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu1003	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10031	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium			0
Zotu10033	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10034	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus			0
Zotu10035	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus			0
Zotu10036	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio			0
Zotu10037	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas			0
Zotu10038	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10039	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Gammaproteobacteria Unknown_family				0
Zotu10040	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae				0
Zotu10041	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10042	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella			0
Zotu10043	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales					0
Zotu10044	Bacteria	Gemmatimonadota	Gemmatimonadota Bd2-11_terrestrial_group						0
Zotu10045	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10046	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu10047	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10048	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10049	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus_amoebophilus			0
Zotu10051	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10052	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10053	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter			0
Zotu10054	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu10055	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu10056	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-tissierellales	Peptostreptococcaceae	Romboutsia			0
Zotu10057	Bacteria								0
Zotu10058	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae Sva0996_marine_group			0
Zotu10059	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae				0
Zotu1006	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea			0
Zotu10060	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum			0
Zotu10061	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae				0
Zotu10062	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10063	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales					0
Zotu10064	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10065	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10066	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10067	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella			0
Zotu10068	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu10069	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu1007	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus			0
Zotu10070	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium			0
Zotu10071	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10072	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter			0
Zotu10073	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10074	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu10075	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10076	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales					0
Zotu10077	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae				0
Zotu10078	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia			0
Zotu10079	Bacteria	Acidobacteriota	Acidobacteriota Subgroup_22						0
Zotu1008	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu10080	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10081	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Thaumasiovibrio			0
Zotu10082	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10083	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10084	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter			0
Zotu10085	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10086	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae				0
Zotu10087	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae				0
Zotu10088	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu1009	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae				0
Zotu10090	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10091	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae				0
Zotu10092	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10094	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10095	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10096	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10097	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae				0
Zotu10098	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae				0
Zotu10099	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria At-s2-61					0
Zotu101	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu1010	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia			0
Zotu10100	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales Dev007				0
Zotu10101	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas			0
Zotu10102	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae				0
Zotu10103	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu10104	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix			0
Zotu10105	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10106	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter			0
Zotu10107	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae				0
Zotu10108	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix			0
Zotu10109	Bacteria	Planctomycetota	Planctomycetota Vadinha51						0
Zotu1011	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna			0
Zotu10111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10112	Bacteria	Bacteroidota	Bacteroidia	Cytophagales					0
