	Kingdom	Phylum	Class	Order	Family	Genus	Subclade	Isolate	Isolate_percent_id
Zotu1	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C15	Zotu1	100
Zotu2	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu2	100
Zotu3	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D1	Zotu3	100
Zotu4	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu4	100
Zotu7	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu7	100
Zotu9	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium A1	Zotu9	100
Zotu10	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C21	Zotu10	100
Zotu11	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D1A	Zotu11	100
Zotu12	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu12	100
Zotu15	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D1A	Zotu15	100
Zotu23	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D1A	Zotu23	100
Zotu24	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu24	100
Zotu27	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D1A	Zotu27	100
Zotu30	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F3	Zotu30	100
Zotu31	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C15	Zotu31	100
Zotu32	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium A_Unclassified	Zotu32	100
Zotu33	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D1A	Zotu33	100
Zotu35	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu35	100
Zotu36	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F5	Zotu36	100
Zotu37	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu37	100
Zotu39	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F3	Zotu39	100
Zotu40	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D1	Zotu40	100
Zotu41	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu41	100
Zotu43	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu43	100
Zotu45	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu45	100
Zotu46	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F3	Zotu46	100
Zotu49	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F3	Zotu49	100
Zotu51	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu51	100
Zotu52	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu52	100
Zotu58	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C15	Zotu58	100
Zotu61	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D1	Zotu61	98.667
Zotu62	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu62	100
Zotu66	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu66	100
Zotu67	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu67	100
Zotu70	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu70	100
Zotu74	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu74	100
Zotu75	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu75	100
Zotu76	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu76	100
Zotu78	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu78	100
Zotu79	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu79	100
Zotu80	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu80	100
Zotu81	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu81	100
Zotu83	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu83	100
Zotu85	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu85	100
Zotu86	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu86	100
Zotu87	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C42A	Zotu87	100
Zotu88	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu88	100
Zotu89	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu89	100
Zotu93	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu93	100
Zotu94	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu94	100
Zotu96	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu96	100
Zotu99	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu99	100
Zotu100	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu100	100
Zotu105	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu105	100
Zotu106	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C15	Zotu106	100
Zotu107	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu107	100
Zotu109	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu109	100
Zotu110	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu110	100
Zotu111	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu111	100
Zotu118	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C15	Zotu118	100
Zotu121	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu121	100
Zotu123	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu123	100
Zotu126	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu126	100
Zotu127	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium A_Unclassified	Zotu127	100
Zotu128	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu128	100
Zotu149	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C107	Zotu149	100
Zotu158	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu158	100
Zotu169	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu169	100
Zotu174	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium A_Unclassified	Zotu174	100
Zotu177	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu177	100
Zotu178	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu178	100
Zotu181	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu181	100
Zotu189	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu189	100
Zotu208	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C15	Zotu208	100
Zotu210	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu210	100
Zotu215	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu215	100
Zotu220	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F4	Zotu220	100
Zotu221	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu221	100
Zotu228	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu228	100
Zotu233	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu233	100
Zotu237	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu237	100
Zotu239	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu239	100
Zotu243	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu243	100
Zotu244	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu244	100
Zotu246	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium A_Unclassified	Zotu246	100
Zotu250	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu250	100
Zotu252	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu252	100
Zotu253	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu253	100
Zotu257	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu257	100
Zotu261	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu261	100
Zotu263	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu263	100
Zotu264	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu264	100
Zotu273	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C3	Zotu273	100
Zotu284	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu284	100
Zotu290	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu290	100
Zotu293	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium A_Unclassified	Zotu293	100
Zotu315	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C15	Zotu315	100
Zotu316	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu316	100
Zotu323	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu323	100
Zotu373	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu373	100
Zotu382	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium A_Unclassified	Zotu382	100
Zotu391	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu391	100
Zotu394	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	H	H H1	Zotu394	100
Zotu395	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F3	Zotu395	100
Zotu404	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu404	100
Zotu420	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium D_Unclassified	Zotu420	100
Zotu444	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C1	Zotu444	100
Zotu456	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu456	100
Zotu465	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu465	100
Zotu467	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F5	Zotu467	100
Zotu472	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu472	100
Zotu477	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Gerakladium	Gerakladium G_Unclassified	Zotu477	100
Zotu478	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu478	100
Zotu481	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu481	100
Zotu484	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu484	100
Zotu520	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu520	100
Zotu533	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu533	100
Zotu538	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu538	100
Zotu548	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C15	Zotu548	100
Zotu549	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu549	100
Zotu551	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu551	100
Zotu555	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Gerakladium	Gerakladium G_Unclassified	Zotu555	100
Zotu561	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu561	100
Zotu570	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu570	100
Zotu582	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu582	100
Zotu588	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu588	100
Zotu592	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu592	100
Zotu596	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu596	100
Zotu599	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu599	100
Zotu614	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu614	100
Zotu622	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu622	100
Zotu631	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu631	100
Zotu635	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu635	100
Zotu639	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu639	100
Zotu658	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Unclassified	Unclassified	Zotu658	100
Zotu660	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu660	100
Zotu668	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium A3	Zotu668	100
Zotu674	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	Fugacium F_Unclassified	Zotu674	100
Zotu686	Alveolata	Dinophyta	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium C_Unclassified	Zotu686	100
