	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU_ID	Isolate	Isolate_percent_id
Zotu1285	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA	Zotu1285	NA	0
Zotu1522	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA	Zotu1522	NA	0
Zotu1083	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA	Zotu1083	NA	0
Zotu3039	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	NA	NA	Zotu3039	NA	0
Zotu2000	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA	Zotu2000	NA	0
Zotu3820	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	NA	NA	Zotu3820	NA	0
Zotu3906	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	NA	NA	Zotu3906	NA	0
Zotu1153	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu1153	NA	0
Zotu1696	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu1696	NA	0
Zotu4263	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4263	NA	0
Zotu6137	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6137	NA	0
Zotu1540	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu1540	NA	0
Zotu5244	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5244	NA	0
Zotu6192	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6192	NA	0
Zotu5864	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5864	NA	0
Zotu5625	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu5625	NA	0
Zotu6765	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu6765	NA	0
Zotu3332	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3332	NA	0
Zotu9003	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Verrucocladosporium	Verrucocladosporium dirinae	Zotu9003	NA	0
Zotu3800	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3800	NA	0
Zotu4178	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu4178	NA	0
Zotu4490	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA	Zotu4490	NA	0
Zotu7160	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7160	NA	0
Zotu3198	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu3198	NA	0
Zotu7087	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	Zotu7087	NA	0
