#OTU ID	C29	G45	G3A	C52	G46B	G44	C6A	G29	C48A	G47A	G12A	G41B	C7A	G25A	G54	C63C	G16	G24A	G43A	C59	G60	C46B	G6B	G6A	C40A	G58	C34A	G36B	C47B	G33B	C21	C19A	C42A	G28	C65A	G46A	G8B	G27	G42C	G1	C31A	NEGCON11	G2B	C25B	C50B	C32B	C27	C30B	C2B	G32B	G23	G59	G19B	G18	C36B	G42B	G40B	G8A	G10A	NEGCON9	C37B	POSCON1	C51	G24B	G57	C9A	C7B	G65B	C41B	C5A	G31B	C15A	G11B	G62	G53	C63A	NEGCON10	G37B	G38A	C45A	G30B	G42A	G47B	C20	G65D	G31A	G19A	C33A	C31B	C24A	G14	NEGCON6	G26	G38B	G15A	C37A	C50A	G40A	C42B	G48B	G9B	G20	G10B	C46A	C28	NEGCON1	G39B	G43B	G17	G30A	G2A	C54	G48A	C43B	C1	C38A	G12B	C19B	G25B	C65D	C34B	C47A	C32A	G21	C49A	C38B	G32A	G37A	C43A	C57	C18	G51	G36A	C48B	G50B	C8B	C41A	C17	NEGCON5	G41A	C3A	G34A	G49A	G63A	C26	G11A	C35A	G35A	C24B	G7B	C25A	G3B	NEGCON3	G63B	C40B	C10A	C62	C8A	C64	G35B	G65A	G5A	C33B	C2A	C65B	C6B	C39B	C23	C22	C3B	G39A	C16	C58	C61	C42C	G34B	C9B	C4A	C30A	POSCON2	C12B	C36A	G22	C39A	G65C	G13	NEGCON4	C55	C11B	C13	C65C	G9A	G7A	NEGCON7	C12A	C35B	CTRL1	C53	G64	NEGCON2	C49B	G52	C11A	C63B	C10B	G4A	C14	C60	G33A	G63C	G61	G55	NEGCON8
Zotu4607	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5	4	10196	0	0	7457	0	1	6	0	10	0	13	4898	6	0	0	0	4	161	0	0	7752	0	1	1	1	0	1	0	0	1	3	10	2	0	9	8	33	6	0	73	0	1	1	0	5948	0	0	1	9599	0	0	0	0	0	5	362	5	13	0	2	1	0	1	0	0	1763	0	0	0	0	0	0	947	0	1	0	0	0	9519	74	87	0	0	0	0	0	1	0	1	1	0	4	19	0	0	1	0	0	0	0	0	0	7	120	0	1	35	0	2	0	0	0	0	0	4	0	0	0	0	0	12	0	0	2	1	1	0	3	1	0	0	0	0	2	1	0	1	0	0	0	0	0	1	1	0	0	0	0	2059	3	0	1	5	32	0	0	7	0	0	0	0	2	0	0	0	1	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	872	0	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7	0	0	14326	0	0	0	456	0	1	0	0	0	1	0	0	0	627	1927	0	0	53	0	1	2	0	1004	0	0	0	0	0	0	0	0	0	0	2878	1	0	0	0	0	1354	0	0	0	0	1	517	0	3	0	95	4	0	0	0	0	112	0	0	0	0	684	0	0	0	0	0	0	0	0	2245	0	120	0	404	0	0	0	0	0	0	5	0	0	176	0	0	0	950	1703	729	0	453	0	1	0	0	0	1379	94	708	0	0	0	1008	461	3472	0	0	0	0	0	3978	0	0	0	0	0	7	0	0	0	0	0	971	0	0	0	0	0	0	0	0	0	0	0	0	3799	60	1	0	338	0	1021	0	223	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu84	0	0	0	1063	0	0	0	0	0	0	0	0	0	0	0	1242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu12	0	0	0	0	0	4132	0	0	0	1	0	1	0	0	0	0	0	2	14	0	0	0	0	0	0	1	0	0	4848	0	0	0	0	0	0	0	0	1	0	0	1664	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	2	0	0	2	0	14404	0	0	13068	0	0	44	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4	380	214	9	53	101	404	112	3	21	84	2	2347	1	309	3209	1	241	1340	1207	3	130	5	1	993	3	2	121	2714	70	5	86	2	6	1	2	1467	1	3	1365	1777	574	0	956	570	7	115	89	168	1262	2	8	2321	62	1	91	2189	5	1004	275	3291	2	0	410	929	398	1	2	63	1	163	87	86	1	174	75	194	601	3	4	1	1001	1	431	2	1005	2	5	26	3	862	1312	885	490	1844	5	4	712	2188	233	485	1323	268	4	989	309	0	1439	1350	275	501	3	260	2	1	75	2	633	4	350	3	267	46	2	129	9	249	1198	1557	90	1	3	2040	7	83	6	220	368	72	0	1	225	1	4	760	351	3	2	111	183	163	41	3	52	821	1	81	1	92	328	2	383	247	187	5	1	255	9	79	18	4	648	138	1021	30	119	2	1	3	655	6	1	149	1	3	5	258	0	959	4	107	1	2	0	0	2	1	2	1	2	0	3	22	2	1	1	1	5	1	3	1	4	4	0
Zotu73	0	0	203	0	0	0	0	244	0	0	0	0	0	21	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	10	110	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	128	0	0	16	0	0	95	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	874	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13	0	0	206	465	0	404	436	0	795	0	0	0	0	0	534	0	394	0	0	0	428	103	0	1294	0	460	0	2087	229	0	0	47	0	1321	0	0	0	803	1	0	0	0	1212	67	581	0	0	0	414	0	595	0	433	1135	0	0	1047	101	18	0	0	0	724	0	574	151	0	0	0	160	0	0	0	130	494	1	0	0	0	0	1	0	254	6	1818	0	8	550	0	0	0	0	1021	0	196	413	299	0	19	0	0	87	478	1069	0	1	0	167	701	0	0	142	1390	173	290	0	214	194	84	0	94	124	0	0	785	51	31	0	195	0	644	906	0	199	0	0	1	245	0	0	131	0	1248	385	38	0	0	253	0	0	0	0	0	229	182	33	0	0	0	0	0	0	77	0	0	535	0	0	0	0	0	0	474	0	0	0	77	0	0	0	0	1	1552	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	13	0	0	0	0	0	0	0	0	0	0	0
Zotu10	0	229	0	0	135	0	0	3	0	8944	0	0	33	9281	0	0	0	0	7	0	0	92	1	0	0	0	0	0	0	0	0	0	0	0	0	6208	0	15	0	0	1	0	0	1	0	2447	0	0	0	3890	0	0	1	0	1	0	9	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	6	0	0	0	26	0	117	61	1	3	0	0	1	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	4207	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5804	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	2467	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu3	395	277	1	285	0	2660	3815	0	67	152	1215	0	2237	7	321	477	1119	0	1	1	683	4	1	490	130	2	136	1	893	0	0	348	86	727	0	673	1	1184	2	0	1163	0	1231	415	614	0	94	178	1	4	1	1265	416	2	182	0	0	239	85	0	1198	0	476	1246	0	57	585	0	86	163	0	0	0	133	73	0	0	0	0	0	3	112	0	16	0	1	218	76	10	591	498	0	2605	0	65	0	0	17355	0	1	0	293	0	834	742	0	0	177	120	1	1	0	0	373	216	1	0	104	185	0	200	511	0	1878	40	526	0	1	229	0	373	265	0	0	0	0	2	80	93	1	126	2139	0	591	315	2	10	172	0	616	1	0	3	366	243	22	137	114	0	0	169	0	4	0	1	332	147	178	2238	177	946	427	1171	272	0	0	74	1	623	2	902	240	1229	2	0	0	0	1130	0	0	0	0	0	1	1	1	3	113	15	1	1	2	2	1	0	0	0	2	0	0	0	0	0
