#OTU ID	C50B	G13	G33B	G18	G40A	C26	G46B	C64	G47A	G32B	C17	G38B	C42C	G25A	G8A	G36B	G1	G11A	C24B	C35B	C40B	C18	C48B	G8B	C36A	C58	C38B	C32B	NEGCON9	G19B	G59	G49B	C47A	G47B	G6B	POSCON1	C5A	G27	C39B	G34A	G50B	G65D	G37B	G65C	C19A	G15A	G41B	C7B	C11A	G20	G38A	C33A	G24A	G40B	C34B	C34A	G12A	G23	G30A	C9B	C2B	G28	C38A	G65B	G37A	C1	G49A	G17	C43A	G14	G31A	C14	C12A	C33B	G61	C25B	C45A	C21	G21	C42A	G42C	G29	G35B	C36B	C48A	G25B	C22	G33A	C31A	C42B	C10A	C8B	G63C	G9B	C6B	C49A	C23	G46A	C29	G4A	C20	C46B	G30B	G36A	G16	G9A	G19A	G35A	C50A	C40A	G42B	G12B	C16	C46A	C31B	G48B	C6A	C47B	G34B	C13	G39B	G64	G2B	C37A	C63B	C4A	G53	C41B	G42A	C12B	G7A	G11B	C37B	C9A	C8A	G3A	C62	C3B	C30A	G2A	G52	G39A	G24B	C49B	G62	C10B	G22	G32A	C25A	C43B	C51	POSCON2	G44	C15A	C27	C28	G7B	C11B	C41A	G43B	G10A	G31B	C65A	C19B	C59	G51	G48A	G45	G3B	C7A	C2A	C30B	C39A	G10B	C24A	G6A	C63C	G65A	G26	G43A	C55	C32A	C53	G41A	G50A	C63A	C54	G54	C52	C35A	C3A	G5A	C57	CTRL1	G57	C61	G58	C65C	C65B	C60	G63A	NEGCON10	G63B	NEGCON7	NEGCON5	NEGCON3	NEGCON1	G60	NEGCON2	G55	NEGCON	C65D	NEGCON6	NEGCON4
Zotu2	39832	34259	6	5	4	403	4	12	1	2	8	46870	3	3	5	14	26	1	1	6	16	4	32692	5	7	24	47468	10	30881	9	167	9329	4	5	1	9	3106	2	38848	0	19171	34222	44613	39754	13	18	36023	2	16	3	22625	7	30627	9	3	29	128	4	4	5	1	39722	20732	50832	46092	3	8547	2	10	59174	3	34941	154	7	59	2	5	16	8	4	8	39480	7	6	46503	7	6	3	20	8	4	7	0	0	2	49717	1	12	33144	10	9	3	4	2	22	5	11	16	48876	17	6	8	21	27	2	10687	15	22	4	28132	25144	2	4	37056	396	6	0	66067	2	0	6	7	29934	6	4	5	34	3	6	9	5	10301	2	19114	31	2	1	3	2	82	0	1	3	13	24	32570	4	0	4014	30	4	6	14984	10	12	1	24855	6	3	5	6	3	29595	2	24680	3	158	0	437	2	1	0	6	2139	12376	1	689	0	1	0	11	215	25	0	3	1	106	1827	2837	2	0	1	0	0	1	2	2	0	1	0	0	2	0	0
Zotu2204	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu89	0	0	0	290	0	0	78	0	0	162	0	0	0	155	1	0	0	0	0	0	0	298	0	0	0	0	0	183	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	73	116	0	0	0	0	0	0	0	0	228	0	0	4	0	0	0	0	1	0	0	0	2	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	14	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	72	132	0	0	0	9	0	0	0	3	0	0	0	0	298	0	0	0	0	0	139	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10	1585	802	0	0	26497	17	0	0	0	0	0	454	0	0	0	1	31	8	0	0	7597	1	879	1	1	0	501	0	565	0	0	263	1	0	2	1	14	19	446	0	638	474	338	299	0	28074	354	0	4	0	154	0	377	2008	4	0	9	8150	0	0	0	351	194	281	634	10	83	1	0	578	1	320	1	0	0	0	0	0	0	0	1	427	0	2	606	4	0	1	0	1	2	3	0	105	1	729	1143	0	459	0	1	0	1	0	49534	17	3	0	396	49590	0	3	45522	0	0	255	1	0	0	449	242	0	0	374	0	0	0	806	0	3	2	0	143	1	1	1	0	1	0	0	1	0	0	438	0	1	0	2	0	0	44	1	0	21740	0	363	0	0	968	2	1	1	1	0	0	0	172	0	1	0	0	0	116	0	288	1	79	0	0	1	0	0	0	322	0	0	713	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Zotu3	0	214	1	104	1	19199	0	364	2	11	1640	3	1	9	57	1	58166	3008	37787	1	4	39	12	78	4	87	15	3	2	399	4	0	0	0	17030	2	54299	38105	4	22	1	0	1	3	163	3228	0	90	1951	2760	2	2	9197	30	0	0	112	96	24	277	7556	91	49	0	0	41718	0	107	2	6	1	11	121	4	50	104	0	38453	61431	4	1	35	1	1	2	374	30755	1	0	0	669	151	4	26	11792	1	1	3	53	439	1873	2	5	2	10159	815	260	0	51	9	1	42543	10487	5	0	0	6	0	10	64	0	0	12091	1	0	244	0	3	0	12712	85	40645	1	442	18	71	248	10460	12	68	0	0	38495	104	1	8007	46858	3	4	11043	171	1	2	3295	30448	133	14	16321	1	11363	757	2	1	896	1	0	1	0	19013	16	30	4	4	19530	4556	1	88	75	19741	0	0	0	35	2	0	320	0	0	0	0	25	16972	129	0	0	0	86	1340	0	1	11	0	0	0	2	0	0	0	0	0	1	0	0	0
Zotu5	1	9	0	6118	0	370	15615	32	32209	24724	15	7	0	14167	234	0	0	2	21	3	594	7455	0	306	5	21	4	34685	1	1	69	0	30953	41	0	0	3	27	5	21	1	1	8	0	1	6	95	9101	6	0	0	1	9	351	0	0	3	4	5	1	1	42	64	3	0	25	0	0	82	2	19570	15	1	0	136	0	16530	3	1	52	1	30	0	1	1	0	0	1	24609	2	12	459	0	0	0	25	13	18330	28	0	2	16829	1114	0	2	2	1	7	17	0	22	0	1	18735	4700	0	0	39	3	6	2	0	0	2	25	1	0	34	181	3	24634	3	0	5	470	1	4	0	0	0	0	152	8	224	99	2	1	36597	10777	3	23	2	22	11	50	44	35465	1	0	0	2	7183	0	0	3	53	0	21123	0	7158	0	113	66	0	21	5	2	6	393	25	0	18824	0	0	7	156	166	0	0	0	1	0	24	1	66	70	2	0	0	0	0	0	0	329	0	0	0	0	0	0	1	1	0	0
Zotu381	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1	74	30	96708	65100	60	253	19571	197	4	48376	92247	48	89978	42280	64758	61808	12	11	40	33297	507	63066	45	59104	65512	1815	58	44979	39	51	1102	18	16	184	11	88016	14	31	36	64096	52	47	37	31	41	37	27	48308	9	61477	47	61347	51	59	67026	74071	23	75	53704	105134	3	33	17	31	59	21	9	64807	39	50	4838	23	17	73123	420	16713	33664	12	28	8347	48465	34	67502	51273	42	41853	2	52523	7038	63351	35	91572	13	33497	8	37	6	10486	83	18	67071	47331	59834	52021	38	56705	20	48860	57	45	59224	24	43	19628	42648	77	27	362	85299	17	31	0	4	63	6979	8	4	71	3298	3	58439	19	94	74209	64929	19	763	11	58755	13	126	77	20	103	362	17	11	24177	28616	4	99	45968	2946	40	15	38	12590	4	82	11	11	42153	10	78	443	49	18	23740	15	51812	12	65091	54	19	60	12	265	144	387	28	68	1192	45	86	93	2598	729	876	132	164	13	2	1156	1	601	51	92	1	2	2	399	0	3	31	5	56	1	0	0	1	2	1	0	1
Zotu4	47574	15673	10	4	1722	127	3	194	1	5	10	28424	7	5	2	12	3	288	1	2	689	5	28948	2	8	21	29117	14	22069	1823	554	6622	4	9	6	13	1595	22	22744	5	20634	22282	17447	17797	3214	3753	20600	1	199	5	6246	11	18876	118	10	84	1114	586	1	12	44	20574	6942	21217	32574	2	4263	8	454	29168	2	16170	714	10	171	2	4	7	2	2	5	22310	19	7	19281	0	2	4	28	3	234	4	3	4	5	21889	50	5	16353	629	13	4	8	8	6299	5	2394	4	16499	5277	6	9	4997	12	6	7984	998	0	9	9233	13998	0	32	18146	810	500	29	41244	1	0	9	7	7974	4	1	776	86	62	3	935	2	2901	5	15546	13	2	2	1	2	39	74	7	1	2574	7	18490	5	1	25907	40	214	5	9441	3088	73	0	7559	4	60	5	384	7	10987	4	12667	675	454	0	173	185	1	3	32	9295	2450	3	3	0	4	0	543	49	172	1	62	15	226	7	9	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0
Zotu31	0	0	0	0	0	0	0	0	0	0	1868	0	6952	0	0	1438	0	0	0	824	0	0	0	0	0	63	0	0	0	0	0	0	0	12	0	0	0	0	0	1651	0	0	0	0	0	0	0	0	0	1413	0	4543	0	0	0	2392	1	1	1	0	0	0	0	0	0	0	0	1671	0	0	0	0	0	0	0	0	0	0	0	0	4170	0	1858	1805	0	0	0	3807	0	0	0	0	0	0	0	1	0	0	0	0	1428	0	1493	0	0	1020	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1787	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
